l_num,c_fg,opac_fg,c_str,label
2,00cc66,0.5,00cc66,RX
4,202020,0.5,202020,NW
7,ff0000,0.8,ff0000,PC
14,ffff00,0.2,ffff00,CA
245,ffe6bf,0.2,ffe6bf,CB
15,0000ff,0.8,0000ff,M1
16,d9cc00,0.2,d9cc00,V1
17,ff00ff,0.8,ff00ff,M2
213,ffe6bf,0.2,ffe6bf,AY
187,ff8000,0.8,ff8000,C1
188,ffb4fa,0.2,ffb4fa,A1
197,ff00ff,0.8,ff00ff,C2
138,ffb4fa,0.2,ffb4fa,A2
140,2bcee7,0.8,2bcee7,C3
152,ffbff2,0.2,ffbff2,A3
41,e61f0d,0.8,e61f0d,C4
153,0000ff,0.2,0000ff,A4
141,9900e6,0.8,9900e6,C5
33,9900e6,0.2,9900e6,YS
4349,0000ff,0.8,0000ff,JA
58,d9cc00,0.2,d9cc00,JQ
59,5e00e6,0.8,5e00e6,OI
70,f0f0f0,0.2,f0f0f0,VV
69,33b3ff,0.8,33b3ff,LB
